stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,152,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,31,0,1,0,0,0,0,2
72hpf,21.7,0,0,0,0,0,0.28,0,0,0.85,0.56,0,0,0.28,0.56,3.1,2.25,0.28,7.61,0,0,0,0,0.28
21Day,14.06,0,1.11,0.37,0,0.37,0.37,0.37,0,0.74,0.37,2.59,0,0,0,2.96,1.48,0,1.11,0,0,0.37,0.37,0
3Month,0.21,0.21,0.1,0,0.1,0.31,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0
22Month,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0
