stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.56,0.28,0,2.82,0.28,0,0,0,0,0.28,0,0.28,0,0
21Day,0.37,0,0,0.37,0,0.74,0.74,0,0,0,0,0,0,0,0,0.74,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0
3Month,0,0.1,0.1,0.94,0.1,0,0,0.21,0,3.33,0.21,0,0.52,0,0.73,0.42,0.31,0.31,0.31,0,0,0.1,0,0.52,0,0,0,0.73,0.1
22Month,0,0.27,0,1.78,0,0,0.14,0.55,0.27,10.11,0.14,0.14,1.09,0,0.27,0.82,0.27,0,0,0,0,0.14,0.14,0.41,0,0.14,0,0,0.14
