stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,15,0,0,0,0,0,0,0,0,0,0,7,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,7.05,0.28,0,0,0,0,0,0,0.28,2.54,0,9.02,0,0,16.91,1.13,0,0,16.63,0,0.28,0.28,0.56,0.56,0,0,0,0
21Day,1.48,0,4.44,0.74,0.37,0,0.37,0,0.37,0,0,1.85,0,10.36,0,0.37,7.03,0.37,0,0.37,11.1,0.37,0,0,1.11,5.92,0,0,0,0
3Month,0.1,0.1,0.42,0,0.21,0,2.39,0.21,0,0,0,0.31,0.52,7.8,0.21,0.83,0.62,0,0.1,0.31,1.46,0,1.98,0.1,0,0,0.42,0.21,1.66,0.31
22Month,0,0,0.27,0,0.14,0.41,2.32,0.41,0.14,0.14,0,0,0.68,1.23,0.14,0.55,0.41,0.14,0,0,0.14,0,0.55,0,0,0,0,0,0,0
