stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0,0,0,0.56,0.56,0,0,0.56,0,0,0,0,0,0,0
21Day,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.1,0.31,0.1,1.77,0.1,0.73,0,0,1.46,0.52,0,0.62,0.1,0.52,0.42,0.52,0.21,0,0.21,0.1,0,0,2.39,0,0,0.21,1.46,0,0,0.42,0.42,0.73
22Month,0,0.41,0,1.09,0,1.91,0.55,0,5.19,0.14,0.27,0.68,0,0.27,1.78,0.82,0.14,0.55,0,0,0.14,0,8.61,0.14,0.14,0,0.14,0.14,0.14,0,0,0.14
