stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0,0.28,0.28,0,0
21Day,0,0,0,0,0,0.37,0,0.37,0.37,0,0,0,0,0,0,0,1.11,0
3Month,0.42,0.1,0.42,0.1,0.1,0.21,0.1,0.21,0,0,0.1,0.1,0,1.77,0,0,0,2.7
