stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,22,1,0,0,0,0,0,0
72hpf,0.28,0,1.69,0,1.41,0,0,0,0,0,0,1.41,0,1.69,0,0.28,0,26.78,3.66,0,0.28,1.97,0,3.38,0.28,0.28
21Day,0,0.37,3.7,0.37,0,0,0,0,0,0.37,0,0,0.37,0.74,0,0.37,0,6.66,2.59,0,0,0.37,0.74,2.22,0,0
3Month,0,0,1.77,0.1,0,0,0.1,0.52,0,0,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.42,0,0,0.42,0.21,0,0
22Month,0,0.14,1.09,0,0,0.14,0,1.09,0.14,0.14,0.27,0,0.14,0,0.14,0,0,0.27,0.14,0,0,0.14,0.96,0.14,0,0.14
