stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.73,0.1,0,0,0,1.14,0.52,0.21,0,0.52,0.21,0,0.1,0,0,0.1,0.1,0.1,0.21,0.31,0,0,0.42
22Month,0.14,0.14,0.14,0.27,0.82,0.14,5.33,0.14,1.5,0,0,0.41,0.55,0.14,0.27,0.14,0,0.14,0.14,0,0,0.14,0.14,0.14
