stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,15,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,6.2,1.13,1.97,0.56,4.23,0.56,0,0,0,0,0,0.28,0,1.41,5.36,0,4.51,0,0.28,0.56,612.17,21.14,0.28,0,0,7.33,0,0,3.95,0.28,0.85,0,0,0,0
21Day,1.48,0.37,3.33,0.37,2.59,0.37,0,0.37,0,0.37,0.37,1.48,0.37,0.74,2.59,0.74,2.59,0,0,0.37,153.17,2.96,0.37,1.11,0,1.11,1.85,0,1.48,0.37,1.48,0.37,0,0,1.11
3Month,0,0,1.04,0,0,0,0,0.1,0,1.46,0.42,0,0.73,0.1,0.31,0.52,0.62,0.1,0,0.1,2.5,0,0.83,0,0,0,0,0.94,0.1,0,0,0,0.1,1.46,0.31
22Month,0,0.27,0.55,0,0,0.14,0.27,1.09,0.41,5.74,0.14,0.14,0.68,0,0,1.23,0.68,0,0.14,0.14,2.6,0,0.41,0.14,0.14,0,0,1.5,0,0.14,0,0,0,0,0
