stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,16,0,0,0,0,9,3,0,5,0,0,0,0,0,0,0,0
72hpf,1.13,1.13,0,0,0,0,0.56,0,0,0,0,0,0,0.28,0,0.56,0.85,1.41,4.51,0,0,0.28,0,2.25,0.85,0,6.2,0.28,0,0.28,0,0,0,0,0
21Day,1.11,0,0,1.85,0.37,0,0.74,0,1.11,0,0,0,0,2.96,0.37,0.37,3.33,0.37,7.03,0,0,2.22,0.37,1.48,0,0,4.81,0.37,0,0,0.37,0.37,0,0,2.22
3Month,0,0.31,0.1,0.62,0,0.1,0,0,3.43,0,0,0.31,1.87,0.31,0.21,0.1,1.04,0.31,1.25,0.31,0,0.1,0,0.31,0,0.1,0.1,0,0.31,0,0,0,1.04,0.1,3.02
22Month,0,0.41,0.14,0.82,0,0,0,0.41,4.1,0.14,0,0.68,0.82,0,0.41,0,0.41,0.55,1.37,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0.14,0,1.23
