stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0.56,0.28,0.28,0,0,0,0,0
21Day,0.37,0.37,0.37,0.37,0,0,0.37,0.74,0,0.37,0,0.37,0,0
3Month,0,0.42,0,0,0.1,0.42,0,0.1,0,0,0,0,0.1,0.1
22Month,0,0,0,0,0,0.27,0,0,0,0,0.14,0,0,0
