stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0.37,35.52,0.74,0,0.37,0,0,0,0.37,0.37,0.37,0.37,84.36,0.37,2.22,0.37,0,0.74,1.11,0,0.37,0.37,0,0.37,0.37,0.37,0
3Month,0.1,0.1,0,10.71,0,0.1,0,1.56,0.21,0.83,0.42,0,2.39,0.21,2.08,0.73,0.1,0,0.1,0.1,0,0.1,0,0,0.1,0,0,0,0.21
22Month,0,0,0.14,0.96,0,0,0.14,0.41,0,0.82,0,0.14,12.85,0,0.82,0.41,0.14,0.14,0,0.14,0,0.14,0,0.27,3.69,0,0,0,0.14
