stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,14,0,0,1,0,0,0,0,0,7,0,0,0,0,16,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,42.28,0.28,0,1.41,0.28,0.28,0,0,0,0,0,0,0,0,7.33,2.25,0,1.69,0,1.97,0,4.79,4.23,0,1.41,0,0,0.28,0.56,0,0,0
21Day,26.64,0,0,1.48,0,0.74,0,0,0,0,1.11,0,0.37,1.11,0.74,0.37,0,3.7,0,0.37,0,1.85,1.85,0,2.22,0.74,0,0.37,0,0,0,0
3Month,0.83,0,0.21,8.01,0.31,0,6.45,0.62,0.62,0,1.14,0.31,0,0.73,1.04,2.08,0.42,2.81,0.31,0.31,0.1,0,0,0.62,0.1,0.1,2.18,0.1,0.42,0.21,0.62,0.52
22Month,0.14,0,0.14,0.82,0,0,1.78,0.14,0.27,0,2.05,0.14,0,0.41,0.27,0.14,0.14,0.55,0,0.14,0,0,0,0.82,0,0,2.19,0,0.14,0,0,0
