stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,11,2,10,0,0,0,0,3,105,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0.85,13.81,0,0,0,0,0,0,0,0,0,0,0.85,5.64,0,1.69,0,0,0,0,3.1,2.82,0,0.28,0,1.13,0.28,0.85,0.85,0,0,0
21Day,0.37,0,0,4.44,24.42,0.37,0,0,0.37,0,0,0.74,0,0.37,0.37,0,5.92,1.11,4.07,0,0.37,0,0,1.11,2.22,0,0,0,0.74,0.74,10.36,0.74,0,0,0.37
3Month,0,0.1,0.62,4.68,1.77,0,0.21,0.73,0.83,0,0,14.87,1.46,0.1,2.7,0.21,1.46,0.94,1.77,0.52,0,0.21,0.62,0.62,0,0.42,0.1,0,0.21,1.56,129.71,0.31,0.73,111.82,1.46
22Month,0,0.82,0.27,1.23,0.55,0,0.27,0.27,0.27,0.27,0,61.77,0.14,0,0.96,0,0.14,0,2.32,0,0.41,0.14,0,0,0,0,0,3.42,0.14,0,15.17,0,0.14,0.68,0.27
