stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Mt_rich_cell,Primordial_germ_cell
3Month,0,0.1,0.1,0,0,0.1
22Month,0.14,0,0,0.27,0.14,0.41
