stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,47,0,0,0,0,1,0,0,0,0,1,2,0,3,1,0,0,0,0,0
72hpf,22.83,0,0.56,0,0,0,0,0,0.56,0.28,0,0.28,1.69,0.28,0.28,0,0,0,0,0
21Day,22.57,0.37,0.37,0.37,0,0,0,0,0,0.37,0,0.74,1.11,0,0,0.37,0,0.37,0.74,0
3Month,0.31,0.21,0,0,0,0,0.1,0.21,0,0,0.21,0,0,0,0,0,1.04,0,0,3.64
22Month,0,0,0,0,0.14,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0,0
