stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
72hpf,1.69,0.28,0,0,0,0,0,0.56,0.28,0,0.85,0,0.28,0,0.28,0
21Day,4.07,1.48,0.37,0.37,0,0,0.37,0,0.37,0.37,2.22,0.37,0,0,0.37,0
3Month,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1
22Month,0,0,0,0,0.27,0.14,0,0,0,0.14,0,0,0,0.14,0,0
