stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,21,22,0,0,0,0,0,0,0,0,61,0,0,0
72hpf,4.51,1.41,0,2.25,1.13,1.97,0,0.28,0,0,0,0,0,0,0,2.25,8.46,0.56,6.76,0,0.28,0,46.22,27.34,0.28,0.28,10.99,0,0,4.79,0,0,156.43,0,0,0
21Day,3.33,0.37,1.48,10.73,0.74,7.03,0,2.22,0,0,0,2.59,0,3.33,0,0.37,4.44,2.59,11.84,0,0.74,0,10.73,7.77,0.37,1.11,2.59,4.07,0.37,0.74,0.37,2.59,84.36,0,0,1.11
3Month,0,0.1,0.31,3.74,1.14,0,0.21,0.1,0.1,0.31,0.62,1.56,0.83,0,1.04,3.54,0.83,0,7.28,15.39,0.31,0.42,0,0.52,0.1,0.1,0.21,0.21,8.74,0.1,0,0,8.74,0.21,0.62,1.14
22Month,0,0,0,1.64,0,0,0,0,0,0,0.68,2.19,0,0.14,0,0.14,0.27,0.41,1.5,0,0.14,0,0.27,0.14,0,0.14,0,0.14,2.19,0,0,0,0.41,0,0,0
