stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,4,2,0,0,0,0,1,16,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.97,0.28,23.11,0,0.85,0,0,0,0,0,0,0.28,0,5.07,1.69,0,0.28,0,0,0,0,5.36,3.38,0,0,0,1.13,0.56,0,0.28,0,0,0,0,0
21Day,0.74,0.37,0.37,2.96,0,5.55,0,0.74,0,0,0,0,0.37,0,0.37,0.74,0.37,0,0.74,0.74,0,0,0.37,0,4.81,1.11,0,0,0,0.37,0.74,2.22,0.37,0,0.37,0,0.37,0
3Month,0,0,0.83,8.63,0.1,0,0.21,0.1,1.46,0.52,0,0,4.68,0.31,0,18.72,2.08,0.52,3.95,0.94,0.1,0,0.31,0.83,0.31,0,0.62,0.1,0,0.1,1.04,43.79,0,0,0,0.21,8.84,0.52
22Month,0,0.14,0.82,4.1,0.14,0,0.27,0,1.23,2.05,4.78,0,55.34,1.37,0,25.96,0.27,0,0.96,0.96,0,1.5,0.68,0.27,0,0,0.55,0.14,0.14,0,0.27,5.19,0,0.55,0,0,0,0.41
