stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,1,0,0,0,0,0,1,0,4,27,0,0,0,2,58,0,0,25,0,0,0,0,0,0,0
72hpf,1.41,0,0.56,0.28,0,0,0.28,0,0,0,0,0,0.56,1.97,0,18.88,0,0.28,0,5.36,6.2,0,0,36.08,0,0,0.56,15.78,0,0,0
21Day,2.59,0,0.74,0,0,0,0.74,0,0,0,0,0,0,0,0,17.76,0,0,0,1.48,1.85,0,0,4.44,1.48,0.37,0,7.03,0,0,0
3Month,0,0.42,0.83,0,0.1,0.21,11.86,0.1,1.56,0.21,0.1,0.83,0,0.31,0.31,4.78,0.21,0,0.42,0.21,0,0.1,0.31,0.1,0.1,13.21,0,0.31,0.52,0.21,0.1
22Month,0.14,0.27,0.14,0,0,0,13.94,0.14,1.23,0.14,0.14,0.14,0,0,0.41,2.32,0.14,0.14,0,0,0,0,0,0.14,0,1.09,0,0,0.14,0,0.14
