stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,T_cell
21Day,0,0.74,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0.31,0,0,0.1,0,0,3.64,0,0,0,0,0,0.1,1.66
22Month,0.14,0,0.14,0.14,1.09,0.14,0.14,2.46,0.14,0,0.14,0.27,0.14,0,0.96
