stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,26.49,0.56,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0.28,0,0,3.38,1.41,1.13,0,13.81,0,0,0.28,0,0,0,0,0
21Day,0,0,1.48,27.01,1.48,0,0.37,0,0,0,0,0,1.11,1.85,0,0.74,0,0,0.74,0,2.59,1.11,0,0,13.69,0.74,0,0,0,0.37,0,0,0
3Month,0,0.1,1.35,4.68,0,0,0,0.42,0.52,3.12,3.43,0.52,0.31,0.83,0.62,0.73,0.21,0,0,0.1,0.21,0,0.94,0,3.54,0.42,0.31,0.21,0,0,1.04,0.42,0.1
22Month,0.27,0,1.78,1.64,0,0.27,0,0.14,1.09,5.06,0.82,0.55,0,0.41,0,0.68,0,0.14,0.27,0,0,0.14,0,0.14,0.55,0.14,0.14,0,0.27,0,0,0,0
