stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0.1,0.31,0,0,0.1,0.42,0.42,0.21,0.1,0,0.42,0.21,0.1,0,0,0.1,0.1,0.1
22Month,0,0,0,0.14,0.14,0.27,0.27,0,0,0,0,0,0,0,0,0,0,0
