stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0,0,0,0,19.17,3.38,0,0,0,0.85,0,0,2.54,5.07,2.54,0.56,0,0,0
21Day,0,0,1.85,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0.74,0,0,0,0,2.59,0.37,0,0,0,0,0,1.85,0.37,1.85,2.22,1.11,0,0,0
3Month,0.31,0.1,10.51,0.31,0,0.1,0.62,0.42,0,5.93,0.73,0.1,2.08,1.25,0.52,2.08,1.35,0.1,0.1,0.42,0.62,0.42,0.1,0.1,0.31,0,0,0.94,26.84,0,0,0,0,0.21,149.99,0.73
22Month,0.41,0.14,3.14,0,0.14,0,0,0.41,0.14,3.69,0.14,0,0.41,0,0,0.68,0.41,0,0.27,0,0,0,0,0,0,0.68,0.14,0,16.12,0.27,2.73,0,0,0,0.55,0
