stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,2,0,5,1,0,0,0,1,0,1,9,0,3,95,4,0,0,0,0,1,0
72hpf,1.41,0.28,1.13,0,0,0,0,0.56,1.13,0,2.25,0,5.36,9.02,1.41,0,0,1.13,0,0,0
21Day,1.48,0,1.11,1.11,0,0,0.37,0,0.74,0,2.96,0.37,2.22,5.92,2.59,0.37,0,0.74,0.37,0,0
3Month,0,0,0.1,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0.14,0,0,0.41,0.14,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0.14
