stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,1,1,0,0,0,0
72hpf,0.28,0.28,0.28,0.28,0,0,0.28,0.56,65.95,2.54,0.56,0,0.85,0.28
21Day,0,0,0.37,0,0.37,0.37,0.37,1.11,26.27,0,0,0.74,0,0.37
