stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,5,0,0,0,0,0,0,0,0,0,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,3.66,0,0,0,0,0,0,0,0,0,0.56,32.13,0,0.85,0,0,0,0,2.54,0.56,0,0,0,0.85,0,0,0,0,0,0,0
21Day,1.85,0,0,48.1,1.11,0,0,0,0,0.37,0,0,1.11,3.7,42.92,1.48,1.85,0,0,0.74,0,3.33,0.74,0,0,0,0.74,0.74,0.37,0.37,0.37,0,0,0.37
3Month,0.21,0.31,0.83,146.35,0,0.42,0.94,1.04,0,4.47,1.04,0.1,1.87,7.07,21.74,1.35,3.33,1.04,0,0.42,0.83,1.87,0,1.25,0.1,0,0.31,0.62,8.22,0.1,0,1.35,1.87,0.83
22Month,0.14,0.14,0.96,14.89,0,0.27,0.14,0.14,0.14,3.01,0.27,0,0.55,1.37,3.42,0.14,0.55,0,0.14,0,0,0.55,0,0.82,0,0.14,0,0.14,1.78,0,0,0,0,0
