stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,9.3,0.85,0,0,0,0.28,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0.74,0.37,0,2.22,0,0,0,0,0,0,0.37,0,0
3Month,0,0.42,0,0.83,0,0,0.1,0.1,0,0.1,0.1,0.1,0.21,0,0,0,0.1,0.42,0,0,1.46,0
22Month,0.14,0.27,0,0.14,0.27,0.14,1.91,0.14,0,0.41,0.14,0,0,0,0.14,1.09,0,2.19,0.14,0,0.14,0.14
