stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,1.97,0,0,0,0,0.56,0,0,0.56,0,0,0.28,0,0.28,0.28,0,0,0
21Day,0,0,2.96,0.37,0,0,0,0,0.37,0.37,0,0,0.74,0,0,0,0.37,1.48,0,0,0.37,0,0,0,0,0,0
3Month,0.1,0,1.25,0,0.1,0.21,1.66,0.21,0.83,0,0.1,0.42,0.62,0.1,0,0.1,0.21,0.1,0,0,0.31,41.09,0.1,0,0.62,29.23,0.83
22Month,0,0.14,0.27,0,0,0.14,1.37,0,0.55,0,0,0.27,0,0,0.14,0,0,0,0.14,0.14,0,6.83,0,0,0,0,0
