stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.25,0.28,0.28,0.56,0,0,0,0,0,0,0,0.28,0.28,0.28,0,44.25,0.85,0,0,0,0.85,0,0,0,4.51,4.51,0.28,0,0,0
21Day,2.22,0.37,2.22,1.85,0,0,0.37,0.74,0,0.74,0.74,1.48,0.37,0,0,42.55,0.37,0,0,0,0.74,1.85,0,0.74,8.51,32.93,0,0,0,0.37
3Month,0,0,0.52,0,0.1,0,0.62,0,0.21,0,0,0.42,0,0,0.1,1.35,0,0.31,0.62,0,0,0.1,0.62,0,0.1,0,0,0.1,3.02,0.21
22Month,0,0.27,0.55,0,0.41,0.14,5.06,0,0.27,0,0.14,0.14,0.14,0.14,0,1.64,0,0.27,0,0.14,0,0,1.64,0.14,6.56,0,0,0,0,0
