stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0,0,0,0.85,0,0,0,0,0
21Day,0,1.48,0,0,0,0.37,0,0.74,0,0.37,0.37,0,0.37,0,0,0.37,0,0,0,0,1.11
3Month,0.1,2.08,0.1,0.21,0.52,2.08,0.21,0.1,2.08,0.42,0.42,0.83,0,0,0.1,0,0.1,0.1,0,0.1,1.04
22Month,0.14,0.68,0,0.14,0,2.32,0,0,1.23,0,0.14,0,0,0.14,0,0,0,0,0.14,0,0.14
