stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51,0.85,0,0,0,0,0,0,0.28,0,0,0.28
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0.37,0,0,0,0.37,0,0.37,0,0,0,0
3Month,0.1,0,0.1,2.08,0.1,0.83,3.12,0.62,0.1,0.62,0.1,0.31,0.52,1.04,0.21,0.21,0.52,0.1,0.21,0.31,0.42,0,0.21,0.31,87.89,0,0.42,31.62,0.42
22Month,0,0,0,0,0,0,1.23,0,0,0.27,0,0,0,0.27,0,0,0,0,0,0,0,0.14,0,0,3.96,0,0,0,0
