stage,Cardiomyocyte,Hatching_gland,Hepatocyte,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,0,1,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0.28,0.28,0
21Day,1.11,0,0,0,0.37,0.37,0,0
22Month,0,0,0.68,0.14,0,0,0,0.14
