stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,3,0,0
72hpf,0,0.56,0,0,0.56,0,0,20.29,0.28,0.56,0
21Day,0,0,0,0,0,0,0,8.88,0,0.37,0
3Month,0.1,0.21,0.1,0.31,0,0.1,0.1,0.1,0,0,0.21
22Month,0,0,0.14,0.14,0,0,0,0,0,0,0
