stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0.85,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.56,0.28,0,0,0.85,0,0,0,0,0
21Day,0,0,0,0.74,0,1.48,0,0.37,0,0,0.74,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0.74,0,0,0.37,0,0,0,0,0
3Month,0.1,0.31,0.31,1.87,0.1,0,0.1,0.1,0.21,2.18,19.35,0.21,0.21,0.83,0.21,1.04,0.42,0.42,0.1,0,0.1,0.1,0.1,0,0.21,0.1,0,0.31,1.04,0,7.7,0.94
22Month,0,0,0,0.14,0,0,0,0,0,0.82,1.91,0.14,0.14,0.14,0,0,0.14,0.14,0,0.14,0,0,0,0,0.14,0,0,0,0,0.27,0,0.14
