stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,34,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,0,1.13,0,0,0,0,0,0,0,0,0.28,1.41,0,5.36,0,0.28,0,107.1,10.15,0.56,0.28,3.95,0,0,2.82,0,0.28,3.1,0,0,0
21Day,1.11,0,0.37,3.33,0,2.59,0,0,0,0,0.37,0,1.11,0.37,0.37,0.74,0.74,5.92,0,1.48,0,57.35,3.7,0.74,0,0.74,2.22,0.37,1.85,0.37,0.37,0.74,0,0,0
3Month,0,0.1,0.21,37.76,0.1,0,0.1,6.45,0.31,0,3.43,0.1,0,0.94,2.08,0.21,0.62,0.62,0.21,0.1,0.73,3.54,0.31,0.83,0,0.1,0.31,2.7,0.42,0,0,0,0.21,0.83,0.62
22Month,0,0.41,0,10.8,0,0,0,2.05,0.55,0.14,6.97,0.14,0.41,0.27,0,0,0.14,0.82,0,0,0.14,3.01,0,0.82,0,0,0,5.6,0.41,0,0,0,0,0,0
