stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0.56,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28
21Day,0,0,0.37,0.37,0,0,0,0,0,0,7.4,0,0.37,0,0,0,0,0,0,0.37,0.37,0,0.37,0,0,0,0,10.73
3Month,0.42,0.1,1.25,0,0.94,0,0.42,0.73,2.29,0.94,1.14,0.83,0.21,0.52,2.39,1.35,0.1,0.21,0.1,0.21,0,0.1,0.94,0.94,0,0.21,0.42,80.82
22Month,0.14,0.14,0,0,0,0,0,0.27,0.96,0,0.14,0.14,0,0,0.55,0.14,0,0.14,0,0,0,0,0,0,0.14,0,0,5.6
