stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0.85,0,0,0.28,0,0,0,0.56,0,0.28,0,0,0,0,0
21Day,0.74,0,2.96,0.37,0,0,0,0.37,0,0.37,0.37,0,0,0.37,3.7,0,0,0,0.74,0,0,1.85,0,0.37,0.37,0,0.37
3Month,0,0.21,1.04,0,0,0.1,0.94,3.12,0.1,0,1.56,0.1,0,0.31,0.52,0,0.52,0.21,0.42,0,0.21,0,0.1,0,0,0,0.1
22Month,0,0.27,0.96,0,0.14,0.14,0.55,3.42,0,0,2.05,0.14,0.27,0.27,0,0,0,0,0,0.14,0.14,0,0.55,0,0,0.14,0
