stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,1.97,0,0.85,0.85,0,0,0,0,0,0,0,0.28,0.56,1.69,0,2.54,0,0,0,144.31,8.46,0,1.41,0,0,1.41,0.28,0.56,0.28,0,0
21Day,0.37,0.37,0.37,2.22,1.48,0.37,0,0,0,0.37,0,0,0,0.74,0.37,0.37,2.96,0,0.37,0,76.22,4.44,0,0.74,1.85,0.37,0.74,0,0.37,0.74,0,0.74
3Month,0,0.21,0.1,1.14,0,0,0.31,0.21,0,2.7,0.21,0,0.73,0,2.39,0.42,0.94,0,0,0.21,0.83,0,0,0.1,0.31,0.62,0.83,0,0,0,0.1,0.21
22Month,0,0.41,0,0.41,0,0,0.14,0.27,0.55,9.16,0.27,0.41,1.23,0.14,0.96,0.41,0.41,0.27,0.27,0,0.55,0,0.14,0,0,0.41,1.91,0.27,0,0,0,0.14
