stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,1.13,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,3.7,0,0,0,0,0,0,0.37,0,4.07,0.74,0,0,0,0,0.37,0.37,0,0,0,0.74,0.37,0,0,0,0
3Month,0.1,0.62,6.45,0,2.18,0.31,0,3.74,0.52,3.74,0.1,0.94,2.5,0.42,0,0.42,0.1,0.21,0,0.1,0.1,0,0.1,24.86,0.1,0,7.07,0.52
22Month,0,0.82,1.64,0.14,2.6,0.41,0.96,6.97,0.14,1.37,0.27,0.27,3.42,0.41,0.14,0.55,0,0,0,0.14,0.14,0.41,0,10.25,0,0.14,0,0.41
