stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,77,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
72hpf,0.56,0,0,1.69,0,0,0,0,0,0,0,0.28,81.74,0.56,0.56,0,0,7.05,2.25,0,0,0,1.97,0,0.28,0.28,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0,0,1.85,0.37,0,0,0,0,0,0,0,0,0
3Month,0,0,0.1,1.56,0,0.1,0.31,2.5,0.21,0,0.21,0.1,0.31,0.1,0.52,0,0,0.1,0,0.1,0.1,0,0,0.31,3.12,0,0.42,0.21
22Month,0,0.27,4.1,0.55,0.14,0.96,0.41,5.33,0.14,0.14,0.68,0.27,0,0.82,0.96,0.41,0.14,0,0,0,0,0.14,0,0,1.09,0,0,0.14
