stage,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,31,0,0,9,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0
3Month,0.52,0,0.1,0.21,0.52,0.73,0.62,0.31,0.31,0.52,0.31,0.1,0,0.1,0,0.1,15.08,0.1,10.51,0.1
