stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,2.54,0,0,0,0.28,0,0,2.82,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0,0,0,0,0,0,0,1.48,19.98,0,1.11,0,0.37,0,0,5.92,0,0.37,0
3Month,0,0.73,0.1,1.25,0,0,0.52,0.31,0.21,0.1,0.52,0,0,3.54,13.42,3.02,0.52,0.1,0,0.1,0.21,0.52,0.31,1.14,0.1
22Month,0.96,0.14,0.14,0.27,0,0.14,0,0.82,0.27,0,0,0.14,0.14,0.55,7.11,0.14,0.41,0,0,0.14,0,0,0,0,0
