stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0.37,0,2.22,0,0,0,0.74,0,0
3Month,0,0.31,0,0.21,0,0,0.73,0.1,0,0.42,0.1,0.1,0,0,0,0.31,0,0.1,0,0,0.1,0.1
22Month,0.14,0.27,0,0,0.27,0.14,4.92,0,0,0.82,0.14,0,0.82,0,0.27,0.14,0.14,2.19,0,0,0,0
