stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,11,0,0,0,3,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,20.86,0.28,0,0,0,0,0,0,0,0,0,0.85,32.69,0,0.56,0,0.28,0,3.1,1.13,0.28,0,0,4.23,0,0,0,3.38,0,0,0
21Day,0.74,0,0.37,9.25,0.37,0,0,0,0,0,1.11,0.37,0.37,0,0.37,15.91,0,0,0,0,0,0.74,0.37,0,0,0,0.74,0.37,0,0,5.18,0,0,0
3Month,0,0.31,0.1,12.79,0,0.21,0.1,0.21,0.21,0,2.39,0.52,0.1,0.83,0.21,54.82,0.73,1.56,0.1,0.21,0.42,0.21,0,0.31,0,0,0.21,0.42,1.04,0.1,0.73,0.21,0.52,0.42
22Month,0.27,0.14,0,1.37,0,0.14,0,0.14,0.55,0.55,5.33,0.14,0,0.27,0.14,8.2,0.14,0.55,0.27,0,0,0.14,0,0,0.14,3.28,0,0,2.46,0,0.27,0,0,0
