stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,177,2,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0,0.28,0.28,0,0,0,0,0,0,0.28,0,0.85,5.07,169.95,0.85,0,0,0,0,6.76,1.69,0,0.28,2.82,0,0,0.28,0,0,0,0,0,0
21Day,3.33,0.37,1.11,9.25,0,5.18,0,2.59,0,1.48,1.11,0.74,29.6,1.85,0.74,8.88,448.42,9.62,0,0,1.48,0,9.62,7.4,0,0.74,4.81,11.47,0,0,1.85,3.7,0.37,0,0,3.7
3Month,0,0.42,0.31,3.12,0.1,0,0.1,0,0.73,1.56,5.93,2.29,0.31,2.5,1.04,1.25,304.87,2.29,0.21,0.1,0.73,0.31,0.1,0,0.42,0.21,0,2.39,1.46,0.1,0,0,0.1,0.42,1.14,2.5
22Month,0.14,0.41,0,0.82,0,0,0,0,0.14,2.6,6.01,0.68,0.27,0.55,0.14,0.27,110.14,0.41,0,0.14,0.14,0,0,0,0,0.27,0,0.27,0.82,0,0.27,0,0,0,0,1.37
