stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0,0,0
21Day,0,1.11,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,1.46,0.1,0,0,0.42,0,0.94,0.1,0,0.1,0.31,1.77,0.42,0,0.1,0,0,0.1,0.73,0,0,0,0,0.52,0,0,0,0.1,0.21
22Month,0.96,2.05,0,0.55,0.68,3.55,2.05,12.57,0.55,0.14,0.68,0,2.6,2.19,1.64,0,0.55,0.14,0,0.96,0.14,0.14,0.27,45.78,0.41,0.27,0.27,0.14,0,0.55
