stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0.28,0.28,0.28,0.28,0.56,0,0,0,0,0
21Day,0,0.37,0,0,0,0.37,0,0.37,1.48,0,1.11,0.37,0,0.37,0,0.37,0
3Month,0,0,0.1,0,0,0,0.1,0.1,0,0,0.21,0,0.1,0,0.1,0,0.73
