stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,T_cell
3Month,0,0.62,0,0,0,0,0.42,0.1,0.1,0.21,0,0.1,0,0,0,0.1,0.21,0,0.1
22Month,0.14,6.83,0.14,0.14,0.68,0.14,5.06,0.41,0.82,0.68,0.68,0.55,0.14,0.27,0.14,0,0.14,0.14,0.27
