stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.48,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.1,0.31,0.1,1.66,0,0.21,0.73,0.21,0,15.5,0.21,0.1,4.06,0.1,0.52,0.21,1.87,0.42,0,0.1,0.42,0,0.52,0,0,0.1,0.73,0.1,4.16,0.31,0.31,0.83,0.21
22Month,0.14,0.82,0.14,2.73,0,0.41,1.23,0.14,1.91,26.51,0.14,0.14,4.78,0.27,0.68,0.82,3.42,0.14,1.23,0,1.09,0.27,0.27,0.41,15.44,0,0.82,0,10.66,3.96,0.14,0,0.27
