stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,2,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0.28,9.02,0,0,0,0,0,0,0,0,3.38,0,0.28,0,0,0,0,0.28,0,0,0,0,0
21Day,0.74,0,1.11,11.1,0,0,0,0,0,0,2.59,0,2.22,0.74,0.37,0,0,0,0.74,0.74,0,0.74,0,0,0.37
3Month,0,0,2.39,3.02,0,0,0,0.1,0.31,0.21,0,0.1,1.04,0.83,0.52,0.1,0,0.1,0.21,0,0.42,0,0.31,0,0.42
22Month,0,0.14,0.82,0.41,0.14,0.14,0.14,0.14,0.68,0.27,0.96,0,0.14,3.83,0.41,0,0.27,0,0,0,0.27,0,0.41,0.14,0.82
