stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
72hpf,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.28,0,0,0,0.28,0
21Day,0.37,0.37,0,0,0,0.37,0,0,0,0,0,0,0.74,0,0.37,0,0,0,1.85,5.55,0
3Month,0,6.14,0.21,0.1,0,1.25,0.1,0,0.1,0.21,0.42,0.62,0.1,0.1,0,0,0,0.21,0,0,0.1
22Month,0,0,0,0,0.14,0.55,0,0.14,0.14,0,0,0.14,0.14,0,0,0,0.14,0,0,0,0
