stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79,3,0,0,0,2,0,16,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,3.66,1.69,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,6.48,23.11,4.79,0,0,0,0.85,10.43,6.76,0,0,8.74,0,0,0,1.69,0,0.28,0,0,0
21Day,0.74,0.37,9.25,0.37,0.37,0,1.48,0,0,1.11,0,0,0.74,0,1.48,0.74,0.37,1.11,27.01,14.8,0,0,2.96,0,4.81,2.22,0,0.37,2.59,0.74,0,0,4.44,0.37,0.37,0,0,0
3Month,0.31,0.73,13.83,0.42,0,0.1,0.21,0.1,0.94,10.92,0.1,0,2.81,2.39,2.39,1.14,1.66,6.03,96.84,8.11,1.87,0,0.62,1.04,1.04,0.1,0.31,0.52,0.73,0.52,0.1,13.42,0.21,0,0.21,1.87,3.85,3.12
22Month,0,0.68,4.37,0.14,0,0,0,0,0,8.61,0.68,0,4.1,0.82,1.78,0.41,0.27,1.37,83.49,3.14,0,0.14,0.27,0.14,0.55,0,0.41,0.14,0.27,0.41,0,2.46,0.82,0,0.14,0.14,0,0.68
