stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,1.13,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,1.13,1.41,0,0,0.28,0,0,1.41,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0.74,0,0,0,0,0,0.74,0,0,0,0,0
3Month,0.62,0.21,6.87,0.1,0.1,0.31,0.31,4.16,0.94,1.04,0.94,0.52,0.73,0.94,0.1,0,0.1,0.52,0.83,0.1,0.42,0.21,0,1.25,25.38,0,0.1,0.21,188.69,0.62
22Month,0.14,0.14,0.68,0.27,0,0,0.14,2.6,0,0.14,0,0,0.14,0.41,0,0.14,0,0,0.14,0,0.14,0,0,0,14.35,0,0,0,0.55,0
