stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,4,0,0,0,0,0,0,0,0,3,1,11,0,0,2,84,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.97,0.85,0,0,0,0,0,0,0.28,1.13,0,6.48,0,0.28,14.66,1.41,0,0.28,6.2,0,0,0.28,0.85,0,0
21Day,0.37,0,0,0.74,0,0.37,0,0,0,0,0.37,0,0.37,0,1.48,0,0.37,11.84,0.74,0.37,0.74,0.37,0,0,0.74,0,0,0
3Month,0,0.1,0.1,3.02,0,0,2.08,0,2.18,0.1,0.52,0.1,4.26,0.42,1.25,0.1,1.87,0,0,0,0,0.1,0.21,0.31,0,0,0.52,0.42
22Month,0.14,0.41,0,0.68,0,0.14,0.55,0.55,3.14,0.27,0.68,0,0.14,0.14,1.78,0,1.78,0.14,0.27,0,0,0.27,0,1.09,0.14,0,0,0
