stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,2.54,0,0,0,0,0,0,0,1.13,0.56,0,0.85,0,0.28,0.28,1.69,42.56,6.2,0,0,0,1.13,0.28,0,0.56,0,0,0
21Day,0.37,0,0.37,2.96,0.37,0,0,0.37,0,1.85,0,0,0.37,0.74,0.37,0,0,0,0,17.02,5.55,0,0,0,0.74,1.48,1.11,0,0.37,0,0.37
3Month,0.21,0.21,0.21,2.81,0,0.1,0.21,2.39,0.21,0,1.35,0.21,0.83,2.7,0.21,0.21,0,0.21,13,0.31,0.1,0.42,0,0,0,0.62,6.66,0.1,0,0.1,0.52
22Month,0,0,0.14,0.14,0,0.14,0.55,3.42,0.14,0,0.82,0,0,0.55,0.27,0,0,0.14,0.14,0.41,0,0.27,0.14,0.68,0,0,7.24,0.14,0,0,0
