stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,10,0,0,0,0,0,8,0,0,0,0,5,1,11,0,0,0,0,2,62,0,0,4,0,0,0,0,1,0,0,0
72hpf,0,0.56,0,1.69,0,0,0,0,0,0.28,0,0,0,0,0,0,0.85,0,0,0,0,0.85,1.41,0,0,0.28,0,0.56,0,0,0,0,0,0
21Day,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0
3Month,0.21,0.83,0.52,1.56,0,0.62,0.1,0.52,1.04,0,5.1,1.66,2.39,0.62,1.25,1.04,1.46,0.42,0.1,0.21,1.04,0,0,0.83,0,0.1,2.29,183.69,0,0.1,0.1,0.62,39.42,1.14
22Month,0,0.68,0,0.55,0,0,0.14,0,0.14,0,2.6,0,0.68,0,0.14,0.55,0.27,0,0.14,0.14,0,0,0,0.55,0.41,0,0.27,41.81,0.14,0,0,0,0.55,0
