stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,6.2,0.28,0,0,0,0.28,0,0
21Day,1.85,0,0.37,0,0,0,0.37,1.85,0,0.37,0.37,0,0,0,0
3Month,1.56,0.1,0,0.21,0.1,0.21,0,5.41,0,0,0,0.83,0,0.62,0.1
