stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0.85,0,0.28,0,0.28,0.28,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,0,1.11,0,0,1.85,0,0,0.37,0.37,0,0.37,0.74,0,0
3Month,0.1,0.1,1.25,0.21,1.04,0.21,0.1,0.1,0.1,2.29,0.1,0.1,0.1,0.21,0.21,0.21,0,1.14,0,6.45,0.1,0.1,0,7.91,0.21
22Month,0,0,1.09,0,0.14,0,0,0,0,0.82,0,0,0,0,0,0,0,0.41,0,1.5,0,0,0,0,0.14
