stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0
72hpf,0,0.28,0,1.13,0.28,0,0,0,0,0,0,0,0,21.14,0,0.56,0.28,0,0,7.61,6.48,0,0.28,1.41,0,0,0.85,0,0,0.28,0,0
21Day,0.74,0.37,0.37,9.62,0.37,0,0.37,0,0,0,0,0,0.37,8.14,0,2.22,0.37,0.37,0,0.37,1.48,0,0,0.74,0,0,0.37,0.37,0.37,0,0,0
3Month,0,0.1,0,8.95,0,0.1,0,0.31,1.66,0.42,0,0.73,0.83,0.42,0.21,0.1,0.1,0.1,0.1,0.21,0,0.1,0,0,0.21,0.31,0,0,0,0,0.1,0.1
22Month,0,0.68,0,0.27,0,0,0,0.55,3.83,0.14,0.41,0.27,0.14,0.14,0.27,0.27,0.14,0,0,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0.27
