stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,1.13,0,0.85,0,0,0.28,35.23,3.66,0.28,0,0.56,0,1.69,0,0,0,0
21Day,0.74,0,0.74,0.37,2.22,0.37,0.37,0,0.37,0.37,0,0.37,0,1.48,0,0,1.11,23.31,0.37,0,0,0.37,0,3.33,0,0,0,0
3Month,0,0.1,0.94,0,0,0,0.42,0.21,0,0.21,0.42,0.21,0.31,0.73,0.31,0,0.21,0.21,0,0.21,0.1,0,0.52,3.64,0,0.1,1.04,0.21
22Month,0,0,1.37,0,0,0,2.19,0.14,0,0.14,0.14,0,0,0.41,0,0.14,0.14,0.41,0.14,0.68,0,0,0.55,18.99,0.41,0,0,0
