stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0
21Day,0.37,0.37,0,0,0,0,0,0,0,0,0.74,0,0
3Month,0.1,0,0,0.31,0.1,0.1,0,0.1,0,0,0,0.1,0
22Month,0.14,0,0.14,2.05,0.14,0.14,0.27,0,0.14,0.14,0,0,0.14
