stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,5,57,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,3.1,0.28,0,0.28,0.28,0,0,0,0,0,0,0.28,0,3.1,5.07,0.56,2.82,0,1.69,0,0.28,10.71,16.07,0.28,0,2.25,0.56,0,1.69,0,0.28,1.13,0,0,0
21Day,2.59,0,0,6.66,0.74,0,0.37,0,0,1.48,0,0.37,2.22,1.85,2.59,1.48,2.22,0,0,0.37,0,2.59,4.81,0,0,0.74,0.74,0,1.11,0,0.37,0.74,0,0,0
3Month,0.21,0.31,1.25,4.78,0,0.21,0,1.87,0,65.32,1.04,0.1,28.81,2.29,0.94,1.14,1.25,0.31,0.1,0.31,0.94,0.21,0.1,0.52,0,0,0.83,5.41,0.1,0,0,0,0.52,0.94,0.94
22Month,0,0.41,1.23,0.96,0,0,0,0.68,0.41,49.47,0,0.14,16.12,0.27,0.14,0.68,1.09,0.14,2.05,0.14,0,0,0,0.82,0.14,0,0.14,2.87,0,0.14,0,0.14,0,0,0.41
