stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0.56,0,1.41,0,0,0,0,6.2,2.25,0,0,0,0,0,0,0,0,0,0
21Day,2.22,0,0,1.48,0,0,0.74,0,0,0,0,0.37,0,0,0,0,0.74,0,0,0.37,0,1.48,1.11,0,0,0.74,0,0,0.37,0.37,0,0,0
3Month,0,0,0.1,1.14,0,0.1,0,0.21,0.21,0,1.66,0.1,0.42,0.1,0.73,0.31,0.31,0.42,0,0,0.1,0,0,0.1,0,0.1,0.1,0.83,0,0,0,0.21,0.42
22Month,0,0.14,0.14,0.55,0,0,0,0,0.27,0.14,6.56,0.27,1.64,0,0.14,0.55,0.55,0,0.14,0.27,0,0.14,0,0,0.14,0,0,0.55,0,0,0.14,0,0
