stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0.37,0,0,0
3Month,0.1,0.42,0.1,0.31,0.21,0.83,0.21,0.1,0,0.1,0.1,0.21,0.1,0.21,0,0,0,0,7.07,0,0.21,2.5,0.1
22Month,0,0.14,0,0,0.14,1.23,0.14,0,0.27,0,0,0.41,0,0,0,0,7.52,0,1.78,0,0,0,0
